,report_date,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,ULTRACEMCO,UPL,WIPRO
43,2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,1418548345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2021-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204126999.0,,,,,,,
45,2021-06-30,1099810083.0,2041751761.0,1985645229.0,143784657.0,959197790.0,585938609.0,3065268517.0,289367020.0,159137444.0,603594345.0,2436592943.0,5492027268.0,806596753.0,6162728327.0,265468580.0,166360134.0,273388422.0,4440385225.0,658077851.0,2713665096.0,5526719098.0,2022140296.0,2246900609.0,1418548345.0,2349588838.0,6925037357.0,773876784.0,4259085763.0,9414158922.0,,,2417220440.0,1982675781.0,1404604911.0,453902798.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,5231589648.0,6762070014.0,8924611534.0,36080748.0,2399334970.0,,1204126999.0,3699051373.0,968988701.0,887786160.0,3320307765.0,288654448.0,764045456.0,5479239889.0
46,2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204126999.0,,,,,,,
47,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6975452864.0,,,,,,,,,,,,,
48,2021-09-30,1099810083.0,2041751761.0,1985645229.0,143784657.0,959197790.0,585938609.0,3066645378.0,289367020.0,159137444.0,,2436592943.0,5492027268.0,806653624.0,6162728327.0,265468580.0,166398811.0,273399672.0,4440385225.0,658161372.0,2713665096.0,5537451890.0,2023132113.0,2247114735.0,1418548345.0,2349591262.0,6934409997.0,774119194.0,4205464426.0,9414158922.0,,,2417220440.0,1983087703.0,1404656010.0,454030479.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,6975452864.0,6762070014.0,8924611534.0,36080748.0,2399334970.0,921551715.0,1204126999.0,3699051373.0,969714371.0,887786160.0,3320307765.0,288659566.0,764045456.0,5480819197.0
49,2021-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204126999.0,,,,,,,
50,2021-11-06,,,,,,,,,,,,5884314930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6765970014.0,,,,,,,,,,,,
52,2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221543546.0,,,,,,,
53,2021-12-31,1099810083.0,2041751761.0,1985645229.0,143784657.0,959197790.0,585938609.0,3067661758.0,289367020.0,159137444.0,603594345.0,2436592943.0,5884314930.0,806790214.0,6162728327.0,265468580.0,166416892.0,273411022.0,4440385225.0,658286540.0,2713665096.0,5542399476.0,2024791033.0,2247169840.0,1418548345.0,2349591262.0,6943351843.0,774548603.0,4205617958.0,9414158922.0,,,2417220440.0,1983899969.0,1404839267.0,454196866.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,6975452864.0,6765994014.0,8924611534.0,36080748.0,2399334970.0,921551715.0,1221543546.0,3699051373.0,970589953.0,887786160.0,3320552265.0,288664987.0,,5481283211.0
54,2022-01-01,,,,,,,,,,,,,,,,,,,,,,2111813255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2022-02-21,,2112373230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221530046.0,,,,,,,
