report_date,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,ULTRACEMCO,UPL,WIPRO
15-08-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,3060066034,289367020,159137290,601689069,2436592943,5455557355,806235329,6162728327,265468580,166232516,27305473,4539703374,657806468,2713665096,5490278560,2019173024,2246284546,1523822625,2349550042,6895410621,693566038,4259154628,9414158922,,,2417220440,1978804377,1403992234,453091022,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6761844754,8924611534,36080748,2399334970,921551715,1204126999,3752384706,966177667,887786160,3088973894,288625105,764045456,5714438884
28-08-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,3060066034,289367020,159137290,601689069,2436592943,5455557355,806235329,6162728327,265468580,166232516,27305473,4539703374,657806468,2713665096,5490278560,2019173024,2246284546,1523822625,2349550042,6895410621,741195806,4259154628,9414158922,,,2417220440,1978804377,1403992234,453091022,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6761844754,8924611534,36080748,2399334970,921551715,1204126999,3752384706,966177667,887786160,3088973894,288625105,764045456,5714438884
04-09-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,3060066034,289367020,159137290,601689069,2436592943,5455557355,806235329,6162728327,265468580,166232516,27305473,4539703374,657806468,2713665096,5490278560,2019173024,2246284546,1523822625,2349550042,6895410621,756313283,4259154628,9414158922,,,2417220440,1978804377,1403992234,453091022,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6761844754,8924611534,36080748,2399334970,921551715,1204126999,3752384706,966177667,887786160,3088973894,288625105,764045456,5714438884
30-09-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,3060161084,289367020,159137444,602587339,2436592943,5455557355,806337456,6162728327,265468580,166269279,273229150,4510141866,657928218,2713665096,5503704156,2019460732,2246352581,1523822625,2349556255,6896223149,756451823,4259411598,9414158922,,,2417220440,1979207809,1404034846,453240333,1243192544,302080060,96415716,9894557280,12580279206,5231589648,6762037614,8924611534,36080748,2399334970,921551715,1204126999,3752384706,966598935,887786160,3088973894,288626076,764045456,5714950888
31-12-20,1099810083,2031751761,1985645229,139125159,959197790,585938609,3061465082,289367020,159137444,602587339,2436592943,5455557355,806455229,6162728327,265468580,166298116,273256830,4510141866,657951004,2713665096,5507656932,2020456081,2246582938,1510388506,2349556255,6903693527,757104998,4259587833,9414158922,,,2417220440,1980478721,1404256696,453513540,1243192544,302080060,96415716,9696666134,12580279206,5231589648,6762067614,8924611534,36080748,2399334970,921551715,1204126999,3752384706,967423190,887786160,3088973894,288636906,764045456,5715338089
19-01-21,1099810083,2031751761,1985645229,139125159,959197790,585938609,3061465082,289367020,159137444,602587339,2436592943,5455557355,806455229,6162728327,265468580,166298116,273256830,4510141866,657951004,2713665096,5507656932,2020456081,2246582938,1510388506,2349556255,6903693527,757104998,4259587833,9414158922,,,2417220440,1980478721,1404256696,453513540,1243192544,302080060,96415716,9696666134,12580279206,5231589648,6762067614,8924611534,36080748,2399334970,921551715,1204126999,3752384706,967423190,887786160,3088973894,288636906,764045456,5477838089
23-01-21,1099810083,2031751761,1985645229,143784657,959197790,585938609,3061465082,289367020,159137444,602587339,2436592943,5455557355,806455229,6162728327,265468580,166298116,273256830,4510141866,657951004,2713665096,5507656932,2020456081,2246582938,1510388506,2349556255,6903693527,757104998,4259587833,9414158922,,,2417220440,1980478721,1404256696,453513540,1243192544,302080060,96415716,9696666134,12580279206,5231589648,6762067614,8924611534,36080748,2399334970,921551715,1204126999,3752384706,967423190,887786160,3088973894,288636906,764045456,5477838089
06-02-21,1099810083,2031751761,1985645229,143784657,959197790,585938609,3061465082,289367020,159137444,602587339,2436592943,5455557355,806455229,6162728327,265468580,166298116,273256830,4510141866,657951004,2713665096,5507656932,2020456081,2246582938,1510388506,2349556255,6903693527,757104998,4259587833,9414158922,,,2417220440,1980478721,1404256696,453513540,1243192544,302080060,96415716,9696666134,12580279206,5231589648,6762067614,8924611534,36080748,2399334970,921551715,1204126999,3752384706,967423190,887786160,3320307765,288636906,764045456,5477838089
18-02-21,1099810083,2031751761,1985645229,143784657,959197790,585938609,3061465082,289367020,159137444,602587339,2436592943,5455557355,806455229,6162728327,265468580,166298116,273256830,4510141866,657951004,2713665096,5507656932,2020456081,2246582938,1510388506,2349556255,6903693527,773155187,4259587833,9414158922,,,2417220440,1980478721,1404256696,453513540,1243192544,302080060,96415716,9696666134,12580279206,5231589648,6762067614,8924611534,36080748,2399334970,921551715,1204126999,3752384706,967423190,887786160,3320307765,288636906,764045456,5477838089
24-03-21,1099810083,2031751761,1985645229,143784657,959197790,585938609,3061465082,289367020,159137444,602587339,2436592943,5455557355,806455229,6162728327,265468580,166298116,273256830,4510141866,657951004,2713665096,5507656932,2020456081,2246582938,1510388506,2349556255,6903693527,773155187,4259587833,9414158922,,,2417220440,1980478721,1404256696,453513540,1243192544,302080060,96415716,9696666134,12580279206,5231589648,6762067614,8924611534,36080748,2399334970,921551715,1204126999,3752384706,967423190,887786160,3320307765,288636906,764045456,5477838089
