,0
2022-05-26,1778.4821872541363
2022-05-27,1794.2300905583998
2022-05-30,1830.60870333143
2022-05-31,1821.8700188138603
2022-06-01,1812.8342998670519
2022-06-02,1832.8670301152904
2022-06-03,1830.3400157399249
2022-06-06,1827.6631159956105
2022-06-07,1807.8385569225245
2022-06-08,1802.3982939352027
2022-06-09,1817.3245646169812
2022-06-10,1790.9840187409209
2022-06-13,1743.5100123551865
2022-06-14,1742.9764812408382
2022-06-15,1738.361967348052
2022-06-16,1703.4740024534465
2022-06-17,1689.6985859562903
2022-06-20,1696.3619524640444
2022-06-21,1732.8834328383261
2022-06-22,1712.2804423573887
2022-06-23,1736.0297015114018
2022-06-24,1749.5328915744838
2022-06-27,1766.7332723455306
2022-06-28,1767.9992057345205
2022-06-29,1759.5898431467126
2022-06-30,1758.985018153001
2022-07-01,1751.3000384620605
2022-07-04,1759.1677439385721
2022-07-05,1756.5066115750894
2022-07-06,1779.6384030781135
2022-07-07,1792.7538072709317
2022-07-08,1801.6848541043846
2022-07-11,1788.654091226723
2022-07-12,1771.391154082038
2022-07-13,1763.2478594698243
2022-07-14,1761.4479807494208
2022-07-15,1772.9487584083968
2022-07-18,1803.223667101592
2022-07-19,1811.9693489863776
2022-07-20,1835.984982476885
2022-07-21,1845.494209026574
2022-07-22,1856.3244512368876
2022-07-25,1848.097533701501
2022-07-26,1827.0696447124997
2022-07-27,1848.6092252744281
2022-07-28,1875.633419463601
2022-07-29,1895.953330211842
2022-08-01,1913.9719850406523
2022-08-02,1918.4984252025354
2022-08-03,1926.2614638157763
2022-08-04,1926.5084263533165
2022-08-05,1931.5029486529158
2022-08-08,1941.643515961918
2022-08-10,1938.53178265997
2022-08-11,1953.5502666385783
2022-08-12,1954.8833636121033
2022-08-16,1969.7012356760567
2022-08-17,1981.710466367017
2022-08-18,1989.1448783458388
2022-08-19,1974.2359210639104
2022-08-22,1943.9100473486699
2022-08-23,1944.5153396545215
2022-08-24,1947.3534319928212
2022-08-25,1936.331725578705
2022-08-26,1941.6950398364693
2022-08-29,1914.3722799988125
2022-08-30,1960.8241659828993
2022-09-01,1938.439283296683
2022-09-02,1940.0425486800416
2022-09-05,1951.231947002246
2022-09-06,1952.7373127590495
2022-09-07,1953.0601101122193
2022-09-08,1972.6280780594866
2022-09-09,1982.0936370100358
2022-09-12,1995.0557784744276
2022-09-13,2006.8159439015228
2022-09-14,1992.078457899899
2022-09-15,1985.8105844446466
2022-09-16,1948.2829340795718
2022-09-19,1960.2653701647835
2022-09-20,1978.9785643144949
2022-09-21,1959.5895023563692
2022-09-22,1960.519670430235
2022-09-23,1932.6458487575087
2022-09-26,1906.818035087564
2022-09-27,1905.5845018439122
2022-09-28,1897.968649341901
2022-09-29,1884.2509738704127
2022-09-30,1911.550115441533
2022-10-03,1880.6627210701556
2022-10-04,1921.684252764265
2022-10-06,1928.9002459741228
2022-10-07,1926.1995132650704
2022-10-10,1923.4426288284044
2022-10-11,1899.2329011031857
2022-10-12,1911.5435675264541
2022-10-13,1901.5895722698153
2022-10-14,1916.5233069922083
2022-10-17,1933.3048508065615
2022-10-18,1957.274262945741
2022-10-19,1954.928509981602
2022-10-20,1963.4427720178126
2022-10-21,1969.4837564733593
2022-10-24,1981.4665618165793
2022-10-25,1973.5941372176626
2022-10-27,1981.6773454931213
2022-10-28,1986.6909927019353
2022-10-31,2011.0202026370212
2022-11-01,2029.6976504658546
2022-11-02,2018.7181878111783
2022-11-03,2019.8627713222504
2022-11-04,2032.6412940886366
2022-11-07,2043.2515420647246
2022-11-09,2039.041341357649
2022-11-10,2025.3260118899598
2022-11-11,2053.300539060717
2022-11-14,2048.4097595270255
2022-11-15,2056.784374345745
2022-11-16,2059.2797856146653
2022-11-17,2054.727728018968
2022-11-18,2053.831858153678
2022-11-21,2040.8855938357221
2022-11-22,2051.372060850956
2022-11-23,2049.071281124738
2022-11-24,2072.291744465432
2022-11-25,2072.7407623647628
2022-11-28,2077.850987143456
2022-11-29,2086.0905639415755
2022-11-30,2097.5586932086185
2022-12-01,2107.1220043436497
2022-12-02,2093.5590779002596
2022-12-05,2091.4329259154356
2022-12-06,2085.5405672055385
2022-12-07,2081.6604844247277
2022-12-08,2084.108647141483
2022-12-09,2068.545932731734
2022-12-12,2064.278247559271
2022-12-13,2078.5914676364446
2022-12-14,2081.0386666770537
2022-12-15,2054.9455286988255
2022-12-16,2034.1821784394501
2022-12-19,2048.0665671951474
2022-12-20,2049.3912260342195
2022-12-21,2025.877337289969
2022-12-22,2020.6610945036018
2022-12-23,1985.431258743873
2022-12-26,2008.0676282716654
2022-12-27,2018.1466959019654
2022-12-28,2016.7385811472072
2022-12-29,2024.3512756351643
2022-12-30,2017.9856128786357
2023-01-02,2017.9856128786357
2023-01-03,2023.2583244305174
2023-01-04,2009.3659143375219
2023-01-05,2004.1036389036162
2023-01-06,1984.5066183610375
2023-01-09,2015.0439766138297
2023-01-10,1987.9832690980031
2023-01-11,1984.6383401839773
2023-01-12,1980.6220231891698
2023-01-13,1993.9002924609813
2023-01-16,1989.4336813291495
2023-01-17,2007.7260444167598
2023-01-18,2015.665819466051
2023-01-19,2002.216604283662
2023-01-20,1989.2075201775772
2023-01-23,2001.0050982008806
2023-01-24,2002.5160223501478
2023-01-25,1982.406935512896
2023-01-27,1939.6687133331245
2023-01-30,1950.207825207878
2023-01-31,1952.3262473674222
2023-02-01,1931.290155831993
2023-02-02,1932.7516144745307
2023-02-03,1958.9201403437219
2023-02-06,1947.7088000430056
2023-02-07,1947.35412453347
2023-02-08,1969.2272466415197
2023-02-09,1967.798486972071
2023-02-10,1961.4252149789347
2023-02-13,1946.846794455564
2023-02-14,1963.3787067737549
2023-02-15,1973.0516004305332
2023-02-16,1974.8698296337384
2023-02-17,1960.7638525248346
2023-02-20,1949.9068767674821
2023-02-21,1942.714258718054
2023-02-22,1913.4313306272888
2023-02-23,1908.8859345271258
2023-02-24,1904.8703141917943
2023-02-27,1892.9443201139784
