,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30,2025-12-31
HDFCBANK,0.026629110634214657,0.026561842235341956,0.02496006840214872,0.026684277707728014,0.02722350398792714,0.027734108238854388,0.05491388532940341,0.05366407073684185,0.047930297726155084,0.049695452884831744,0.044849528863180305,0.0486824320738284,0.04720497114841673,0.0439185199595694,0.04152762247423796,0.038398889002057165,0.03811432155766934,0.03903161732947277,0.03493001040894018,0.037727294259417656,0.03959904565369298,0.03804164765984118,0.0438030521041016,0.043913542231431874,0.03519465004940103,0.038421857482400755,0.036344566380137874,0.03862465483952902,0.04009622255221686,0.0398352654069775,0.03892540141304403,0.03801714379996108
HDFCLIFE,0.020830471359168542,0.018544979355205167,0.01508064476149424,0.015082524622521163,0.013648520211003516,0.01620771335723792,0.02062844704659065,0.02024328219847807,0.018792780624309023,0.0195782912048989,0.017750190468098583,0.017493635937083127,0.016774883185768003,0.015290777988272008,0.01427213387501219,0.012791892996620029,0.011038126702904745,0.012473143478339652,0.010354958572630114,0.01041023108275023,0.009739974146154724,0.011430563701399221,0.01059334082835107,0.009610847315032957,0.008901274464676194,0.007760010337121552,0.008589815477835345,0.007649159286526803,0.00855323182527964,0.009149639266608485,0.008723914934798361,0.00837473393457879
HINDALCO,0.010617672913561298,0.010114089486740998,0.009589468524854964,0.009539998656895688,0.008010716516563782,0.0077941698059585665,0.007125125623554998,0.007581041262039205,0.004419931605274711,0.005654274491344239,0.006060887333294574,0.006777129425133967,0.008578608180612348,0.008998389670604671,0.010533118028891834,0.010224535106131258,0.012221655807605163,0.008011631065553587,0.007891878650745818,0.009007906821471059,0.008185742890468913,0.007621521711096855,0.008499047024562946,0.009482407181088484,0.008170026731776917,0.009352728496846041,0.009403283946522926,0.007760370295236832,0.008844996016014626,0.008060217646015144,0.009158795727076882,0.009066633934415357
HINDPETRO,0.0058108060135918455,0.003907708391475705,0.003588371775899482,0.0036499872126040025,0.0037911374166273728,0.003954197526712108,0.004040621100378097,0.0033364572214940533,0.0031574526399800284,0.0030145864009503004,,0.002276606765869761,,0.002469515741112978,,,,,,,,,,,,,,,,,,
HINDUNILVR,0.059069097700403514,0.06495132055311774,0.06025531280291406,0.06923995426096997,0.06014580535397667,0.06114651670339581,0.06660144140567555,0.061179901683667076,0.09628867488246692,0.08356281659919221,0.07083208181894037,0.06725509161160383,0.0635962854915336,0.05998894462989409,0.05812755759727509,0.05088435594097423,0.04408602053165611,0.053383361782550584,0.05461912759987745,0.04918227331306021,0.05217667105840063,0.04933187778223343,0.0429937433870461,0.041831172074541983,0.0336209277624544,0.03428692889292381,0.037604323844375995,0.030995930032425994,0.030275339209292016,0.027895403765311598,0.0313538634623429,0.028636477480961833
ICICIBANK,0.03993528296156304,0.03505258998373801,0.036996681260435524,0.04408018594861606,0.04605653796556719,0.04783092849981887,0.04678866870099865,0.05483991027991664,0.04340323187182277,0.03947348817130227,0.037747337966450106,0.046424389519333704,0.04713361932343819,0.04713187387111159,0.04660355121615421,0.0490827036736366,0.04837681622006502,0.05169939480504101,0.05374471484029911,0.052376539373532996,0.05477752241254602,0.05242610596442216,0.051010852251486265,0.047823039492756445,0.04966065976174818,0.050487561198598416,0.04961540376452332,0.051843280445009673,0.05536244096698939,0.05328458743266199,0.051351425163521716,0.0490908297627718
INDIGO,0.011396958165087552,0.008523424204629055,0.006163167654640135,0.008778332271016431,0.010173872760925094,0.010482809098560957,0.012530008376643588,0.008331512532694636,0.008770566171900716,0.006811671388557631,0.00765485031910059,0.008603872915609852,0.00759103020101895,0.007358763712759542,0.007684464505229987,0.0076388175557181425,0.007612967550705624,0.006692607263505142,0.006546071031924423,0.006671824790382991,0.0067389903329491685,0.008306927953629755,0.007132753305775938,0.007948493202309951,0.00898970927242802,0.009905199063080933,0.010290188128455271,0.01014373100740656,0.01146459387693922,0.012025651022604814,0.011567713926478778,0.011466496114059416
INDUSINDBK,0.02388623845680621,0.022870463379463433,0.01903770268770117,0.01821832886525947,0.019492032597259863,0.014364399119343453,0.015987892474049,0.016436721904421293,0.005038517937283623,0.00570253941421563,0.006146210660308053,0.008502734283409807,0.008628868250100966,0.008471893376953258,0.008257675830023705,0.0065731624472519,0.006909932349437124,0.006473399915968966,0.00824224571123297,0.007992440398016193,0.007428312581402024,0.009377195908599888,0.008540552401546796,0.008551265562736016,0.007859360546779761,0.006933378241273817,0.006285696623165268,,,,,
INFY,0.023077711099679703,0.02421154119847926,0.051199339203936975,0.04718353739890833,0.049782727444453424,0.04689395111409321,0.050271256327600045,0.043512432981506706,0.05027401716495015,0.04895505979170015,0.05967053496583639,0.061191132245090436,0.06211374396956002,0.06682158352518396,0.06197073098131645,0.07017257073075078,0.07076907698090573,0.060456703606421906,0.04947624394207439,0.05000114408614014,0.04978627079025664,0.04232460724516917,0.04306723773677863,0.04191856062050452,0.03848849885278719,0.03797941409402508,0.041687038728891505,0.043778921190044257,0.03680916770960285,0.0341774063025792,0.03155588413853678,0.03134309783503753
IOC,0.016254555578714528,0.012730544206595173,0.011996185036559678,0.011345633436825379,0.012263644093152318,0.01126929117119371,0.010552275108446817,0.008465496300818408,0.0076059363797933415,0.00665754199453675,0.005128271520924218,0.005140992880178691,0.005374632900408478,0.005817607929514609,0.006074180299030928,0.005583728423759438,0.006148355462517358,0.0063462306816755715,0.007513621921281461,0.008085263168858233,0.00873688440872042,0.00918064399612141,0.008929227031977799,0.011978235084875465,0.014632062028006437,0.013359830075109729,0.013879790348064872,0.01088708232223747,0.010254666137502328,0.010592794927421474,0.011314115978742455,0.012140473682190484
ITC,,,,,,,,,,,,,,,,,,,0.034069245319211544,0.03205571572326553,0.040017810702760975,0.043202647391007036,0.040347520404168495,0.03751974736584557,0.033393657723486014,0.0311749933111049,0.03491966699685224,0.03377576019046393,0.02925118172155571,0.027176727711793535,0.026878496076153592,0.02564202794300365
JIOFIN,,,,,,,,,,,,,,,,,,,,,,,0.011406489652067352,0.010274119795427354,0.01475266640636,0.013812043291619672,0.012396661510791628,0.010940444034769391,0.008384275696350276,0.010808400148094612,0.009963629302277292,0.01004369361647482
JSWSTEEL,0.014773530268895937,0.014855444087165062,0.016593089078923255,0.013469223953622834,0.011880545866893117,0.010838885504903563,0.008990477173515853,0.009944445010860604,0.007091320452660559,0.007687948336749885,0.010138838188252557,0.011512967061593032,0.01297548029229778,0.017454449819790364,0.015264874027647153,0.014922709939332372,0.01663649730698126,0.014130674255656365,0.013796209333427076,0.01579816744889482,0.015019491261902936,0.01535839565551688,0.01467294242365438,0.014810481074797448,0.013208029077376785,0.013704306468494772,0.014003001337677193,0.012695364506113839,0.015064674435883873,0.012978920260648855,0.014947093157369149,0.014337064801773228
KOTAKBANK,0.046167964521863544,0.05246382457210523,0.042256449064260786,0.04698514604741659,0.04709019552100874,0.049339002395228634,0.054010694935171334,0.05213235580587535,0.052874544841311495,0.04807292185220697,0.039875899227577505,0.05114376952454314,0.04188002414730525,0.037566720309841345,0.0391717996129304,0.03495540788691066,0.03408250221754026,0.03559896314978273,0.033023110952446595,0.031242477404469334,0.03144834858267379,0.03005553395769268,0.026769929777935096,0.026310295294327008,0.02328280235293257,0.021735831585628397,0.020521609796279768,0.020480255599415822,0.02505057457724516,0.022406643818138654,0.021195943375346776,0.020762457132434707
LT,0.03787062224873275,0.03266825944555048,0.031244381015386832,0.03567157908141685,0.032310866871624114,0.03441682785098206,0.03251155602752092,0.02697075101650297,0.022431703102925766,0.021924925874597392,0.018799487469318914,0.022296002741346074,0.02289277797684012,0.022308267540550323,0.02269362261453944,0.025166868590671305,0.023423784875284133,0.022764986685072156,0.023140371255689966,0.024603616656470404,0.027092341245510392,0.027786384058410423,0.03177169118160121,0.0331261115630801,0.03343923751434872,0.02938550672323937,0.0279102078111788,0.028380798651523906,0.02764372583321373,0.026317205266279124,0.02691478031368534,0.027646050605094875
LTIM,0.0048279375691663495,0.005336399771958939,0.005872368123003565,0.005407431033622268,0.004908323880457826,0.00510292291464178,0.004191576641298865,0.0046104058710291634,0.004958054105794817,0.005690739284387978,0.006640837826892928,0.007826165609672442,0.008081975159075055,0.007479850930740402,0.009486607750716795,0.012047471787528097,0.010098002693727636,0.007244780697532504,0.006878099081857836,0.010698589803245642,0.012435304918033808,0.012176701598862381,0.01164724486091475,0.012632184747841243,0.009376557642524886,0.009539435981462738,0.010142621004354818,0.009433632913587967,0.007631819618919464,0.00818465742995121,0.008145218075871437,0.00864443092513966
M&M,0.01983624343678926,0.0213669655169134,0.019555143164494596,0.01843971009368466,0.014124037444883813,0.01341611741446901,0.011157387426661608,0.010209095368263236,0.007206204956663896,0.010814781604201318,0.0115016308070059,0.011105527492619689,0.011417128917838406,0.010287710264587555,0.009521222054167885,0.009885725403554677,0.009506593376027057,0.014203880027054003,0.014089782271409215,0.013070206559315572,0.0128684241620411,0.01447379765641715,0.01480388811373166,0.014725433662056722,0.01546932042179593,0.021343141327680008,0.02128131672525395,0.021419848128456313,0.01910563331991099,0.02047757657488562,0.02279475893463996,0.0230900834630375
MARUTI,0.05775654616194376,0.051003006623976214,0.04055266414454318,0.04161099612801599,0.034510826175802145,0.03250468335770592,0.03327549414866816,0.034387359332072785,0.026350802033568092,0.030040627752889897,0.03114655342657856,0.028779572918579296,0.024039610037221538,0.0242710337441982,0.02113638637937648,0.02130524242756428,0.021651604319787913,0.026739237009938747,0.02374187685462899,0.02126078539239607,0.02228603847357917,0.023587907503230924,0.02443129580714607,0.022071132569273438,0.025524842481912134,0.022542598566347497,0.022951148564786836,0.019501342880024752,0.02082080857018986,0.02011251845577981,0.026956131252355603,0.02475569901169265
MAXHEALTH,,,,,,,,,,,,,0.002394901464088376,0.0027295366006456225,0.0034177714891930233,0.00420900686824207,0.0032977345927406782,0.0038372788874647653,,,,0.004762543514418844,0.004275224805503864,0.004623591606451571,,,,0.006325270993485497,0.006188264825576285,0.006461236969910687,,
