symbol,report_date,total_shares
Divi's Laboratories Limited,2025-09-30,265468580
Divi's Laboratories Limited,2025-06-30,265468580
Divi's Laboratories Limited,2025-03-31,265468580
Divi's Laboratories Limited,2024-12-31,265468580
Divi's Laboratories Limited,2024-06-30,265468580
Divi's Laboratories Limited,2024-03-31,265468580
Divi's Laboratories Limited,2022-09-30,265468580
Divi's Laboratories Limited,2024-09-30,265468580
Divi's Laboratories Limited,2022-06-30,265468580
Divi's Laboratories Limited,2023-12-31,265468580
Divi's Laboratories Limited,2022-03-31,265468580
Divi's Laboratories Limited,2023-09-30,265468580
Divi's Laboratories Limited,2023-06-30,265468580
Divi's Laboratories Limited,2022-12-31,265468580
Divi's Laboratories Limited,2023-03-31,265468580
Divi's Laboratories Limited,2021-12-31,265468580
Divi's Laboratories Limited,2021-09-30,265468580
Divi's Laboratories Limited,2021-06-30,265468580
Divi's Laboratories Limited,2021-03-31,265468580
Divi's Laboratories Limited,2020-09-30,265468580
Divi's Laboratories Limited,2020-12-31,265468580
Divi's Laboratories Limited,2020-06-30,265468580
Divi's Laboratories Limited,2019-06-30,265468580
Divi's Laboratories Limited,2019-03-31,265468580
Divi's Laboratories Limited,2020-03-31,265468580
Divi's Laboratories Limited,2018-09-30,265468580
Divi's Laboratories Limited,2019-09-30,265468580
Divi's Laboratories Limited,2019-12-31,265468580
Divi's Laboratories Limited,2018-12-31,265468580
Divi's Laboratories Limited,2018-06-30,265468580
Dr. Reddy's Laboratories Limited,2025-03-31,834455365
Dr. Reddy's Laboratories Limited,2025-09-30,834613760
Dr. Reddy's Laboratories Limited,2025-06-30,834581775
Dr. Reddy's Laboratories Limited,2024-12-31,834423960
Dr. Reddy's Laboratories Limited,2024-09-30,166876946
Dr. Reddy's Laboratories Limited,2024-03-31,166818266
Dr. Reddy's Laboratories Limited,2023-09-30,166784764
Dr. Reddy's Laboratories Limited,2023-12-31,166809397
Dr. Reddy's Laboratories Limited,2023-06-30,166555501
Dr. Reddy's Laboratories Limited,2024-06-30,166829701
Dr. Reddy's Laboratories Limited,2023-03-31,166527876
Dr. Reddy's Laboratories Limited,2022-12-31,166523639
Dr. Reddy's Laboratories Limited,2022-09-30,166466613
Dr. Reddy's Laboratories Limited,2022-06-30,166441018
Dr. Reddy's Laboratories Limited,2021-12-31,166416892
Dr. Reddy's Laboratories Limited,2022-03-31,166425849
Dr. Reddy's Laboratories Limited,2021-09-30,166398811
Dr. Reddy's Laboratories Limited,2021-03-31,166301231
Dr. Reddy's Laboratories Limited,2021-06-30,166360134
Dr. Reddy's Laboratories Limited,2020-12-31,166298116
Dr. Reddy's Laboratories Limited,2020-09-30,166269279
Dr. Reddy's Laboratories Limited,2020-06-30,166232516
Dr. Reddy's Laboratories Limited,2020-03-31,166172082
Dr. Reddy's Laboratories Limited,2019-12-31,166163148
Dr. Reddy's Laboratories Limited,2019-06-30,166113840
Dr. Reddy's Laboratories Limited,2019-09-30,166145748
Dr. Reddy's Laboratories Limited,2019-03-31,166065948
Dr. Reddy's Laboratories Limited,2018-09-30,166045857
Dr. Reddy's Laboratories Limited,2018-12-31,166060861
Dr. Reddy's Laboratories Limited,2018-03-31,165910907
Dr. Reddy's Laboratories Limited,2018-06-30,165973228
Eicher Motors Limited,2025-09-30,274277990
Eicher Motors Limited,2025-06-30,274252240
Eicher Motors Limited,2024-06-30,274010515
Eicher Motors Limited,2024-12-31,274132460
Eicher Motors Limited,2025-03-31,274164080
Eicher Motors Limited,2024-09-30,274060710
Eicher Motors Limited,2024-03-31,273805630
Eicher Motors Limited,2023-09-30,273749460
Eicher Motors Limited,2023-12-31,273775500
Eicher Motors Limited,2023-06-30,273658460
Eicher Motors Limited,2022-12-31,273478020
Eicher Motors Limited,2023-03-31,273481570
Eicher Motors Limited,2022-09-30,273455720
Eicher Motors Limited,2022-06-30,273428852
Eicher Motors Limited,2022-03-31,273423102
Eicher Motors Limited,2021-12-31,273411022
Eicher Motors Limited,2021-09-30,273399672
Eicher Motors Limited,2021-06-30,273388422
Eicher Motors Limited,2021-03-31,273335922
Eicher Motors Limited,2020-12-31,273256830
Eicher Motors Limited,2020-09-30,273229150
Eicher Motors Limited,2019-12-31,27304562
Eicher Motors Limited,2020-03-31,27305473
Eicher Motors Limited,2019-09-30,27289722
Eicher Motors Limited,2018-09-30,27268603
Eicher Motors Limited,2019-03-31,27283473
Eicher Motors Limited,2018-12-31,27275653
Eicher Motors Limited,2019-06-30,27288952
Eicher Motors Limited,2018-03-31,27255549
Eicher Motors Limited,2018-06-30,27266300
GAIL (India) Limited,2025-03-31,6575099643
GAIL (India) Limited,2025-06-30,6575099643
GAIL (India) Limited,2025-09-30,6575099643
GAIL (India) Limited,2024-12-31,6575099643
GAIL (India) Limited,2024-09-30,6575099643
GAIL (India) Limited,2024-03-31,6575099643
GAIL (India) Limited,2024-06-30,6575099643
GAIL (India) Limited,2023-09-30,6575099643
GAIL (India) Limited,2023-12-31,6575099643
GAIL (India) Limited,2023-06-30,6575099643
GAIL (India) Limited,2023-03-31,6575099643
GAIL (India) Limited,2022-09-30,6575099643
GAIL (India) Limited,2022-12-31,6575099643
GAIL (India) Limited,2022-06-30,4383399762
GAIL (India) Limited,2021-12-31,4440385225
GAIL (India) Limited,2022-03-31,4440385225
GAIL (India) Limited,2022-09-07,6575099643
GAIL (India) Limited,2021-09-30,4440385225
GAIL (India) Limited,2021-06-30,4440385225
GAIL (India) Limited,2021-03-31,4440385225
GAIL (India) Limited,2020-12-31,4510141866
GAIL (India) Limited,2020-09-30,4510141866
GAIL (India) Limited,2020-03-31,4535759610
GAIL (India) Limited,2019-09-30,4510141866
GAIL (India) Limited,2019-12-31,4510141866
GAIL (India) Limited,2020-06-30,4539703374
GAIL (India) Limited,2019-06-30,2276002498
GAIL (India) Limited,2019-06-30,4552004996
GAIL (India) Limited,2019-03-31,2274337216
GAIL (India) Limited,2018-12-31,2255070934
GAIL (India) Limited,2018-09-30,2255070933
GAIL (India) Limited,2018-06-30,2255070933
Grasim Industries Limited,2025-06-30,680580576
Grasim Industries Limited,2024-12-31,680580576
Grasim Industries Limited,2025-09-30,680580576
Grasim Industries Limited,2024-06-30,680550136
Grasim Industries Limited,2024-03-31,680550136
Grasim Industries Limited,2025-03-31,680580576
Grasim Industries Limited,2024-09-30,680550136
Grasim Industries Limited,2023-12-31,658448791
Grasim Industries Limited,2024-02-09,680516022
Grasim Industries Limited,2023-09-30,658448791
Grasim Industries Limited,2023-06-30,658432126
Grasim Industries Limited,2023-03-31,658432126
Grasim Industries Limited,2022-12-31,658401686
Grasim Industries Limited,2022-09-30,658379936
Grasim Industries Limited,2022-06-30,658295426
Grasim Industries Limited,2022-03-31,658295426
Grasim Industries Limited,2021-12-31,658286540
Grasim Industries Limited,2021-09-30,658161372
Grasim Industries Limited,2021-06-30,658077851
Grasim Industries Limited,2021-03-31,658044844
Grasim Industries Limited,2020-12-31,657951004
Grasim Industries Limited,2020-09-30,657928218
Grasim Industries Limited,2020-06-30,657806468
Grasim Industries Limited,2019-12-31,657798938
Grasim Industries Limited,2020-03-31,657798938
Grasim Industries Limited,2019-09-30,657672734
Grasim Industries Limited,2019-03-31,657598363
Grasim Industries Limited,2019-06-30,657609040
Grasim Industries Limited,2018-12-31,657591288
Grasim Industries Limited,2018-09-30,657591288
Grasim Industries Limited,2018-06-30,657578253
Grasim Industries Limited,2018-03-31,657371435
HCL Technologies Limited,2025-09-30,2713665096
HCL Technologies Limited,2025-06-30,2713665096
HCL Technologies Limited,2024-12-31,2713665096
HCL Technologies Limited,2024-09-30,2713665096
HCL Technologies Limited,2025-03-31,2713665096
HCL Technologies Limited,2024-03-31,2713665096
