,promoter_shares,public_shares,total_shares,free_float_factor,ticker,report_date
374,2683781555,1311899506,3997400102,0.3282,BHARTIARTL,2018-03-31
375,235287003,570101179,807765695,0.7058,CIPLA,2025-09-30
376,235287003,570739407,807794617,0.7065,CIPLA,2025-06-30
377,235287003,570589469,807617120,0.7065,CIPLA,2025-03-31
378,235287003,570725315,807614040,0.7067,CIPLA,2024-12-31
379,249185003,556673491,807566979,0.6893,CIPLA,2024-09-30
380,249185003,557019664,807517999,0.6898,CIPLA,2024-06-30
381,269635378,536036182,807367062,0.6639,CIPLA,2024-03-31
382,269635378,536019518,807350398,0.6639,CIPLA,2023-12-31
383,269635378,535994549,807325429,0.6639,CIPLA,2023-09-30
384,269635378,535946662,807224436,0.6639,CIPLA,2023-06-30
385,269635378,534110491,807150593,0.6617,CIPLA,2023-03-31
386,269635378,532590684,807139168,0.6598,CIPLA,2022-12-31
387,269635378,532535050,807001603,0.6599,CIPLA,2022-09-30
388,269635378,532543177,806907203,0.66,CIPLA,2022-06-30
389,269635378,532235993,806814036,0.6597,CIPLA,2022-03-31
390,289805134,512813211,806790214,0.6356,CIPLA,2021-12-31
391,289805134,512634534,806653624,0.6355,CIPLA,2021-09-30
392,295674971,509544625,806596753,0.6317,CIPLA,2021-06-30
393,295674971,509411151,806463279,0.6317,CIPLA,2021-03-31
394,295485596,509593036,806455229,0.6319,CIPLA,2020-12-31
395,295485596,509678590,806337456,0.6321,CIPLA,2020-09-30
396,295485596,510155701,806235329,0.6328,CIPLA,2020-03-31
397,295485596,510146662,806227596,0.6328,CIPLA,2019-12-31
398,295485596,509993561,806077497,0.6327,CIPLA,2019-09-30
399,295485596,509747491,805828425,0.6326,CIPLA,2019-06-30
400,295485596,509620332,805701266,0.6325,CIPLA,2019-03-31
401,295485596,509586575,805667509,0.6325,CIPLA,2018-12-31
402,295485596,508820771,805227852,0.6319,CIPLA,2018-09-30
403,295485596,508195338,805191188,0.6311,CIPLA,2018-06-30
404,295485596,498637072,805119164,0.6193,CIPLA,2018-03-31
405,3890735938,2271992389,6162728327,0.3687,COALINDIA,2025-09-30
406,3890735938,2271992389,6162728327,0.3687,COALINDIA,2025-06-30
407,3890735938,2271992389,6162728327,0.3687,COALINDIA,2025-03-31
408,3890735938,2271992389,6162728327,0.3687,COALINDIA,2024-12-31
409,3890735938,2271992389,6162728327,0.3687,COALINDIA,2024-09-30
410,3890735938,2271992389,6162728327,0.3687,COALINDIA,2024-06-30
411,3890735938,2271992389,6162728327,0.3687,COALINDIA,2024-03-31
412,3890735938,2271992389,6162728327,0.3687,COALINDIA,2023-12-31
413,3890735938,2271992389,6162728327,0.3687,COALINDIA,2023-09-30
414,3890743218,2271985109,6162728327,0.3687,COALINDIA,2023-06-30
415,4075634553,2087093774,6162728327,0.3387,COALINDIA,2023-03-31
416,4075634553,2087093774,6162728327,0.3387,COALINDIA,2022-12-31
417,4075634553,2087093774,6162728327,0.3387,COALINDIA,2022-09-30
418,4075634553,2087093774,6162728327,0.3387,COALINDIA,2022-06-30
419,4075634553,2087093774,6162728327,0.3387,COALINDIA,2022-03-31
420,4075634553,2087093774,6162728327,0.3387,COALINDIA,2021-12-31
421,4075634553,2087093774,6162728327,0.3387,COALINDIA,2021-09-30
422,4075634553,2087093774,6162728327,0.3387,COALINDIA,2021-06-30
423,4075634553,2087093774,6162728327,0.3387,COALINDIA,2021-03-31
424,4075634553,2087093774,6162728327,0.3387,COALINDIA,2020-12-31
425,4075634553,2087093774,6162728327,0.3387,COALINDIA,2020-09-30
426,4075634553,2087093774,6162728327,0.3387,COALINDIA,2020-06-30
427,4075634553,2087093774,6162728327,0.3387,COALINDIA,2020-03-31
428,4255203612,1907524715,6162728327,0.3095,COALINDIA,2019-12-31
429,4268039140,1894689187,6162728327,0.3074,COALINDIA,2019-09-30
430,4373016781,1789711546,6162728327,0.2904,COALINDIA,2019-06-30
431,4373016781,1789711546,6162728327,0.2904,COALINDIA,2019-03-31
432,4525682514,1681726663,6207409177,0.2709,COALINDIA,2018-12-31
433,4861680228,1345728949,6207409177,0.2168,COALINDIA,2018-09-30
