,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,payout_per_s
12,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Annual General Meeting/Dividend Rs 50/- Per Share,10,09-Jul-2015,-,11-Jul-2015,23-Jul-2015,50
13,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Annual General Meeting / Dividend - Rs 50/- Per Share,10,03-Jul-2014,-,05-Jul-2014,17-Jul-2014,50
14,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Annual General Meeting / Dividend - Rs.45/- Per Equity Share,10,04-Jul-2013,-,06-Jul-2013,19-Jul-2013,45
15,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Annual General Meeting And Dividend - Rs.45/- Per Share,10,05-Jul-2012,-,07-Jul-2012,18-Jul-2012,45
16,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Annual General Meeting And Dividend Rs.40/- Per Share,10,29-Jun-2011,-,01-Jul-2011,14-Jul-2011,40
18,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Annual General Meeting / Dividend Rs.40/- Per Share,10,08-Jul-2010,-,10-Jul-2010,22-Jul-2010,40
19,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Agm/Div.Rs.22/-Per Share,10,02-Jul-2009,-,04-Jul-2009,16-Jul-2009,22
0,BAJAJFINSV,Bajaj Finserv Limited,EQ,Dividend - Re 1 Per Share,1,27-Jun-2025,27-Jun-2025,-,-,1
1,BAJAJFINSV,Bajaj Finserv Limited,EQ,Dividend - Re 1 Per Share,1,21-Jun-2024,21-Jun-2024,-,-,1
2,BAJAJFINSV,Bajaj Finserv Limited,EQ,Dividend - Rs 0.80 Per Share,1,30-Jun-2023,30-Jun-2023,-,-,0.80
5,BAJAJFINSV,Bajaj Finserv Limited,EQ,Dividend - Rs 4 Per Share,1,30-Jun-2022,01-Jul-2022,-,-,4
6,BAJAJFINSV,Bajaj Finserv Limited,EQ, Annual General Meeting/Dividend - Rs 3 Per Share,1,08-Jul-2021,-,10-Jul-2021,21-Jul-2021,3
7,BAJAJFINSV,Bajaj Finserv Limited,EQ, Interim Dividend - Rs 5 Per Share,1,03-Mar-2020,04-Mar-2020,-,-,5
8,BAJAJFINSV,Bajaj Finserv Limited,EQ, Annual General Meeting/ Dividend - Rs 2.50 Per Share,1,11-Jul-2019,-,13-Jul-2019,25-Jul-2019,2.50
9,BAJAJFINSV,Bajaj Finserv Limited,EQ, Annual General Meeting / Dividend- Rs 1.75 Per Share,1,05-Jul-2018,-,07-Jul-2018,19-Jul-2018,1.75
10,BAJAJFINSV,Bajaj Finserv Limited,EQ, Annual General Meeting/Div-Rs 1.75 Per Share,1,06-Jul-2017,-,08-Jul-2017,19-Jul-2017,1.75
11,BAJAJFINSV,Bajaj Finserv Limited,EQ, Interim Dividend - Rs 1.75/- Per Share (Purpose Revised),1,16-Mar-2016,17-Mar-2016,-,-,1.75
12,BAJAJFINSV,Bajaj Finserv Limited,EQ,Annual General Meeting/Dividend Rs 1.75 Per Share,1,09-Jul-2015,-,11-Jul-2015,22-Jul-2015,1.75
13,BAJAJFINSV,Bajaj Finserv Limited,EQ,Annual General Meeting / Dividend - Rs 1.75/- Per Share,1,03-Jul-2014,-,05-Jul-2014,16-Jul-2014,1.75
14,BAJAJFINSV,Bajaj Finserv Limited,EQ,Annual General Meeting / Dividend Rs.1.50/- Per Equity Share,1,04-Jul-2013,-,06-Jul-2013,18-Jul-2013,1.50
16,BAJAJFINSV,Bajaj Finserv Limited,EQ,Annual General Meeting And Dividend - Rs.1.50 Per Share,1,05-Jul-2012,-,07-Jul-2012,17-Jul-2012,1.50
